date,description,amount,type
2026-04-01,CONTINENTE ONLINE,-45.30,debit
2026-04-02,SALARIO EMPRESA XYZ,1300.00,credit
2026-04-03,EDP COMERCIAL,-67.20,debit
2026-04-04,NETFLIX,-15.99,debit
2026-04-05,WORTEN LISBOA,-234.00,debit
2026-04-06,MB WAY JOAO SILVA,50.00,credit
2026-04-07,GALP COMBUSTIVEIS,-45.00,debit
2026-04-08,NOS COMUNICACOES,-29.99,debit
2026-04-09,PINGO DOCE,-38.50,debit
2026-04-10,UBER PORTUGAL,-12.30,debit
2026-04-11,FARMACIA CENTRAL,-23.10,debit
2026-04-12,SPOTIFY,-9.99,debit
2026-04-13,RESTAURANTE TASCA,-34.00,debit
2026-04-14,CTT EXPRESSO,-8.50,debit
2026-04-15,SALARIO EMPRESA XYZ,1300.00,credit
2026-04-16,NETFLIX,-15.99,debit
2026-04-17,CONTINENTE ONLINE,-45.30,debit
2026-04-18,EDP COMERCIAL,-67.20,debit
2026-04-19,GALP COMBUSTIVEIS,-45.00,debit
2026-04-20,NOS COMUNICACOES,-29.99,debit
2026-04-21,PINGO DOCE,-38.50,debit
2026-04-22,UBER PORTUGAL,-12.30,debit
2026-04-23,FARMACIA CENTRAL,-23.10,debit
2026-04-24,SPOTIFY,-9.99,debit
2026-04-25,RESTAURANTE TASCA,-34.00,debit
2026-04-26,CTT EXPRESSO,-8.50,debit
2026-04-27,SALARIO EMPRESA XYZ,1300.00,credit
2026-04-28,NETFLIX,-15.99,debit
2026-04-29,cafe dona, -5.00,debit
2026-04-30,GALP COMBUSTIVEIS,-45.00,debit
2026-05-01,NOS COMUNICACOES,-29.99,debit
2026-05-02,PINGO DOCE,-38.50,debit
